,,id,overload_min,overload_max,over_speed_min,over_speed_max,at_night_min,at_night_max,other_place_min,other_place_max,high_speed_dis_min,high_speed_dis_max,high_speed_time_min,high_speed_time_max,dis_avg_min,dis_avg_max,score
110,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,64,72.0,83
111,0,1.0,20,98.0,15,98.0,20,98.0,10000,98.0,80,140.0,120,98.0,84,98.0,15
112,0,1.0,0,1.0,0,1.0,1,10.0,600,1200.0,10,20.0,120,20.0,72,84.0,66
113,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,120,20.0,64,72.0,43
114,0,1.0,1,12.0,5,15.0,1,10.0,4000,10000.0,45,80.0,120,20.0,72,84.0,30
115,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,84,15.0,90
116,0,1.0,12,20.0,5,15.0,0,1.0,0,600.0,0,10.0,15,25.0,84,15.0,19
117,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,63
118,0,1.0,1,12.0,5,15.0,0,1.0,1200,2400.0,20,30.0,45,55.0,72,84.0,60
119,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,35,45.0,72,84.0,81
120,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,84,10000.0,30
121,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,35
122,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,86
123,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,120,120.0,64,72.0,43
124,0,1.0,0,1.0,1,5.0,0,1.0,1200,2400.0,30,45.0,120,120.0,64,72.0,72
125,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,0,56.0,49
126,0,1.0,1,12.0,5,15.0,0,1.0,0,600.0,0,10.0,35,45.0,84,84.0,61
127,0,1.0,1,12.0,15,98.0,0,1.0,2400,4000.0,45,80.0,25,35.0,64,72.0,52
128,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,75,120.0,84,20.0,59
129,0,1.0,0,1.0,1,5.0,0,1.0,600,1200.0,0,10.0,120,20.0,72,84.0,34
130,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,64,72.0,85
131,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,35,45.0,72,84.0,84
132,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,56,64.0,92
133,0,1.0,20,20.0,5,15.0,0,1.0,2400,4000.0,30,45.0,25,35.0,84,20.0,11
134,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,64,72.0,80
135,0,1.0,1,12.0,1,5.0,1,10.0,4000,10000.0,45,80.0,120,10000.0,84,10000.0,30
136,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,75,120.0,84,10000.0,28
137,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,75,120.0,84,140.0,72
138,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,84,140.0,58
139,0,1.0,1,12.0,15,120.0,0,1.0,1200,2400.0,30,45.0,0,15.0,64,72.0,64
140,0,1.0,1,12.0,1,5.0,0,1.0,600,1200.0,10,20.0,75,120.0,72,84.0,51
141,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,0,56.0,90
142,0,1.0,0,1.0,0,1.0,1,10.0,600,1200.0,20,30.0,120,84.0,0,56.0,64
143,0,1.0,1,12.0,5,15.0,10,20.0,4000,10000.0,45,80.0,120,98.0,64,72.0,12
144,0,1.0,12,20.0,15,20.0,0,1.0,4000,10000.0,80,140.0,55,75.0,72,84.0,39
145,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,75,120.0,72,84.0,36
146,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,120,20.0,84,20.0,56
147,0,1.0,1,12.0,15,15.0,0,1.0,2400,4000.0,30,45.0,25,35.0,72,84.0,59
148,0,1.0,0,1.0,0,1.0,0,1.0,600,1200.0,10,20.0,75,120.0,72,84.0,34
149,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,84,20.0,60
150,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,84,20.0,29
151,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,55
152,0,1.0,1,12.0,15,10000.0,1,10.0,4000,10000.0,45,80.0,25,35.0,72,84.0,49
153,0,1.0,1,12.0,15,140.0,20,140.0,10000,140.0,140,140.0,55,75.0,56,64.0,22
154,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,35,45.0,84,140.0,63
155,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,55
156,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,72,84.0,82
157,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,72,84.0,30
158,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,140,84.0,35,45.0,0,56.0,88
159,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,64,72.0,47
160,0,1.0,1,12.0,5,15.0,20,20.0,10000,20.0,140,20.0,120,20.0,0,56.0,6
161,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,64,72.0,79
162,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,72,84.0,27
163,0,1.0,0,1.0,5,15.0,0,1.0,1200,2400.0,20,30.0,75,120.0,64,72.0,30
164,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,56,64.0,90
165,1,10.0,0,1.0,15,20.0,0,1.0,10000,20.0,140,20.0,75,120.0,64,72.0,4
166,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,0,56.0,48
167,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,56,64.0,80
168,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,120,10000.0,84,10000.0,58
169,0,1.0,0,1.0,0,1.0,1,10.0,600,1200.0,0,10.0,75,120.0,56,64.0,69
170,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,45,55.0,56,64.0,47
171,0,1.0,12,20.0,5,15.0,20,120.0,4000,10000.0,80,140.0,120,120.0,84,120.0,27
172,0,1.0,1,12.0,1,5.0,1,10.0,600,1200.0,10,20.0,55,75.0,56,64.0,50
173,0,1.0,1,12.0,1,5.0,1,10.0,600,1200.0,0,10.0,55,75.0,72,84.0,61
174,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,0,15.0,0,56.0,90
175,0,1.0,20,98.0,5,15.0,20,98.0,4000,10000.0,80,140.0,15,25.0,72,84.0,30
176,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,56,64.0,82
177,0,1.0,1,12.0,1,5.0,0,1.0,600,1200.0,10,20.0,120,20.0,84,20.0,23
178,0,1.0,1,12.0,5,15.0,0,1.0,600,1200.0,10,20.0,55,75.0,84,20.0,58
179,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,35,45.0,64,72.0,49
180,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,64,72.0,83
181,0,1.0,1,12.0,1,5.0,1,10.0,600,1200.0,0,10.0,55,75.0,84,20.0,52
182,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,56,64.0,81
183,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,0,56.0,47
184,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,55
185,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,72,84.0,64
186,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,48
187,0,1.0,0,1.0,1,5.0,0,1.0,1200,2400.0,10,20.0,120,120.0,72,84.0,31
188,0,1.0,1,12.0,0,1.0,1,10.0,0,600.0,0,10.0,75,120.0,84,120.0,48
189,0,1.0,0,1.0,0,1.0,1,10.0,0,600.0,0,10.0,75,120.0,72,84.0,74
190,0,1.0,1,12.0,0,1.0,0,1.0,600,1200.0,0,10.0,45,55.0,84,84.0,64
191,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,20,30.0,55,75.0,84,98.0,57
192,0,1.0,1,12.0,5,15.0,10,20.0,4000,10000.0,80,140.0,120,20.0,84,20.0,27
193,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,0,56.0,91
194,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,20,30.0,120,20.0,0,56.0,36
195,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,84,15.0,69
196,0,1.0,0,1.0,15,15.0,0,1.0,0,600.0,0,10.0,15,25.0,72,84.0,65
197,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,64,72.0,82
198,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,0,56.0,49
199,0,1.0,1,12.0,15,10000.0,20,10000.0,10000,10000.0,140,10000.0,120,10000.0,56,64.0,8
200,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,90
201,0,1.0,20,140.0,1,5.0,0,1.0,4000,10000.0,80,140.0,75,120.0,72,84.0,30
202,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,35,45.0,56,64.0,86
203,0,1.0,0,1.0,15,120.0,1,10.0,4000,10000.0,80,140.0,75,120.0,56,64.0,60
204,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,55,75.0,64,72.0,48
205,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,83
206,0,1.0,1,12.0,15,84.0,0,1.0,600,1200.0,10,20.0,0,15.0,72,84.0,56
207,0,1.0,1,12.0,5,15.0,0,1.0,600,1200.0,0,10.0,45,55.0,72,84.0,51
208,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,56,64.0,48
209,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,0,56.0,47
210,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,15,25.0,0,56.0,49
