车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
4989,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",46
4990,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",55
4991,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",92
4992,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",35
4993,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",79
4994,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[600, 1200)","[10, 20)","[15, 25)","[64, 72)",93
4995,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[72, 84)",55
4996,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[72, 84)",31
4997,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[2400, 4000)","[45, 80)","[55, 75)","[64, 72)",22
4998,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[25, 35)","[84, inf)",62
4999,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[64, 72)",54
5000,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[45, 55)","[84, inf)",51
5001,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",78
5002,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",85
5003,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",46
5004,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",85
5005,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",49
5006,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[140, inf)","[55, 75)","[0, 56)",49
5007,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",62
5008,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",69
5009,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",80
5010,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[75, 120)","[84, inf)",52
5011,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",41
5012,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",69
5013,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",80
5014,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",36
5015,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",73
5016,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[0, 56)",10
5017,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",40
5018,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[120, inf)","[84, inf)",42
5019,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",82
5020,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",59
5021,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[72, 84)",38
5022,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",75
5023,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",61
5024,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",62
5025,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",62
5026,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[56, 64)",70
5027,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[72, 84)",69
5028,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[30, 45)","[45, 55)","[72, 84)",54
5029,"[0, 1)","[1, 12)","[1, 5)","[20, inf)","[4000, 10000)","[45, 80)","[120, inf)","[72, 84)",42
5030,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[10, 20)","[120, inf)","[72, 84)",23
5031,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",80
5032,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[30, 45)","[45, 55)","[72, 84)",55
5033,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",49
5034,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",57
5035,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",84
5036,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",69
5037,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",74
