车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
1532,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",9
1533,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",52
1534,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",84
1535,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[75, 120)","[84, inf)",30
1536,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",80
1537,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[2400, 4000)","[30, 45)","[120, inf)","[84, inf)",37
1538,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[4000, 10000)","[80, 140)","[45, 55)","[56, 64)",10
1539,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",69
1540,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[15, 25)","[72, 84)",39
1541,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",67
1542,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",55
1543,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",80
1544,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[64, 72)",65
1545,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",77
1546,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",45
1547,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[64, 72)",64
1548,"[0, 1)","[0, 1)","[0, 1)","[10, 20)","[1200, 2400)","[30, 45)","[75, 120)","[0, 56)",33
1549,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",54
1550,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[15, 25)","[64, 72)",18
1551,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[64, 72)",33
1552,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",35
1553,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",81
1554,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[64, 72)",92
1555,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",81
1556,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",83
1557,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",81
1558,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",65
1559,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",59
1560,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",55
1561,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",23
1562,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",60
1563,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
1564,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",75
1565,"[1, 10)","[20, inf)","[5, 15)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[72, 84)",1
1566,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",45
1567,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[45, 55)","[56, 64)",29
1568,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",59
1569,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",49
1570,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",49
1571,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",86
1572,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[72, 84)",58
1573,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[1200, 2400)","[20, 30)","[15, 25)","[56, 64)",92
1574,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",55
1575,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",81
1576,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[64, 72)",9
1577,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[72, 84)",12
1578,"[0, 1)","[12, 20)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",9
1579,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",81
1580,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[120, inf)","[84, inf)",24
1581,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",63
1582,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",48
1583,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",83
1584,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",84
1585,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",79
1586,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[0, 56)",35
1587,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[56, 64)",87
1588,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",70
1589,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[55, 75)","[72, 84)",49
1590,"[0, 1)","[12, 20)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",10
1591,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[4000, 10000)","[80, 140)","[120, inf)","[72, 84)",9
1592,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[45, 55)","[64, 72)",53
1593,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",93
1594,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",30
1595,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[45, 55)","[72, 84)",32
1596,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",64
1597,"[0, 1)","[12, 20)","[5, 15)","[20, inf)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",40
1598,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",82
1599,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",60
1600,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",82
1601,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[35, 45)","[56, 64)",18
1602,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",72
1603,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",48
1604,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",81
1605,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[56, 64)",90
1606,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[72, 84)",64
1607,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",30
1608,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",58
1609,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[84, inf)",28
1610,"[0, 1)","[12, 20)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",10
1611,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",59
1612,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",59
1613,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",48
1614,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",48
1615,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[25, 35)","[56, 64)",22
1616,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[0, 56)",47
1617,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",21
1618,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",55
1619,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",55
1620,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[2400, 4000)","[30, 45)","[75, 120)","[64, 72)",17
1621,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",58
1622,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[4000, 10000)","[30, 45)","[120, inf)","[84, inf)",33
1623,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[84, inf)",51
1624,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",55
1625,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[75, 120)","[84, inf)",22
1626,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[30, 45)","[35, 45)","[56, 64)",35
1627,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[55, 75)","[84, inf)",22
1628,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",39
1629,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",34
1630,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[35, 45)","[72, 84)",49
1631,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[64, 72)",40
1632,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",55
1633,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[72, 84)",87
1634,"[0, 1)","[0, 1)","[5, 15)","[20, inf)","[2400, 4000)","[45, 80)","[25, 35)","[0, 56)",51
1635,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[45, 80)","[75, 120)","[64, 72)",14
1636,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[0, 56)",34
1637,"[0, 1)","[20, inf)","[5, 15)","[20, inf)","[10000, inf)","[140, inf)","[55, 75)","[72, 84)",11
1638,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[120, inf)","[72, 84)",23
1639,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",47
1640,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[56, 64)",30
1641,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[4000, 10000)","[80, 140)","[75, 120)","[64, 72)",26
1642,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[80, 140)","[120, inf)","[64, 72)",26
1643,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",88
1644,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",67
1645,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[0, 56)",10
1646,"[1, 10)","[20, inf)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[55, 75)","[72, 84)",5
1647,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",77
1648,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",26
1649,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[72, 84)",65
1650,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",33
1651,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[20, 30)","[120, inf)","[84, inf)",39
1652,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",72
1653,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[56, 64)",35
1654,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[0, 56)",48
1655,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[84, inf)",48
1656,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",90
1657,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[30, 45)","[25, 35)","[64, 72)",80
1658,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[84, inf)",15
1659,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[10000, inf)","[80, 140)","[120, inf)","[72, 84)",24
1660,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[35, 45)","[64, 72)",29
1661,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[55, 75)","[72, 84)",65
1662,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",45
1663,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",61
1664,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",49
1665,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",72
1666,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[84, inf)",16
1667,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
1668,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[80, 140)","[75, 120)","[84, inf)",18
1669,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",55
1670,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[55, 75)","[72, 84)",11
1671,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",81
1672,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[75, 120)","[72, 84)",15
1673,"[0, 1)","[12, 20)","[5, 15)","[1, 10)","[2400, 4000)","[45, 80)","[25, 35)","[72, 84)",48
1674,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[84, inf)",34
1675,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[56, 64)",70
1676,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[64, 72)",70
1677,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",46
1678,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[56, 64)",65
1679,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",35
1680,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",55
1681,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",58
1682,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",48
1683,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",20
1684,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[56, 64)",34
1685,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[15, 25)","[56, 64)",51
1686,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",24
1687,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",90
1688,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[25, 35)","[72, 84)",69
1689,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",35
1690,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",78
1691,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",74
1692,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",9
1693,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[2400, 4000)","[30, 45)","[55, 75)","[84, inf)",28
1694,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",54
1695,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",84
1696,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",45
1697,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[1200, 2400)","[45, 80)","[55, 75)","[0, 56)",41
1698,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",63
1699,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",63
1700,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",49
1701,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",74
1702,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[56, 64)",9
1703,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",83
1704,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",92
1705,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",47
1706,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",30
1707,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",58
1708,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",47
1709,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[64, 72)",85
1710,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",90
1711,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",80
1712,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[56, 64)",91
1713,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",44
1714,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",57
1715,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",78
1716,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",5
1717,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",81
1718,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",35
1719,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[45, 80)","[120, inf)","[84, inf)",45
1720,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",55
1721,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[56, 64)",64
1722,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[84, inf)",45
1723,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",80
1724,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[0, 56)",49
1725,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",29
1726,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",83
1727,"[0, 1)","[0, 1)","[1, 5)","[20, inf)","[4000, 10000)","[45, 80)","[120, inf)","[64, 72)",21
1728,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[30, 45)","[25, 35)","[72, 84)",54
1729,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",58
1730,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[84, inf)",16
1731,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[56, 64)",43
1732,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",90
1733,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",89
1734,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",23
1735,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",92
1736,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",48
1737,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",71
1738,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[20, 30)","[15, 25)","[0, 56)",65
1739,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",28
1740,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",55
1741,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[75, 120)","[84, inf)",39
1742,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",56
1743,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[4000, 10000)","[45, 80)","[45, 55)","[72, 84)",27
1744,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[75, 120)","[64, 72)",9
1745,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",63
1746,"[0, 1)","[0, 1)","[1, 5)","[10, 20)","[1200, 2400)","[30, 45)","[120, inf)","[72, 84)",26
1747,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[1200, 2400)","[10, 20)","[75, 120)","[72, 84)",64
1748,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[72, 84)",50
1749,"[1, 10)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[75, 120)","[56, 64)",7
1750,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[72, 84)",21
1751,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[45, 55)","[72, 84)",61
1752,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",82
